# https://coastal.er.usgs.gov/data-release/doi-F78W3C7W/
Location,Sub_location,Site_name,Data_source,Latitude,Longitude,Year,Taxon,Percent_cover
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2012,Agaricia_fragilis,0
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2013,Agaricia_fragilis,0
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2014,Agaricia_fragilis,0
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2015,Agaricia_fragilis,0
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,1999,Agaricia_lamarcki,0
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2000,Agaricia_lamarcki,0
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2001,Agaricia_lamarcki,0
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2002,Agaricia_lamarcki,0
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2003,Agaricia_lamarcki,0.03
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2004,Agaricia_lamarcki,0
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2005,Agaricia_lamarcki,0
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2006,Agaricia_lamarcki,0
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2007,Agaricia_lamarcki,0
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2008,Agaricia_lamarcki,0
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2009,Agaricia_lamarcki,0
Florida_Keys,Dry_Tortugas,Bird_Key_Reef,CREMP_Florida,24.6117,-82.8702,2010,Agaricia_lamarcki,0
